Key	Value
修理建筑时连续失误，差点弄伤自己，正感觉有点生气	修理建筑时连续失误，差点弄伤自己，正感觉有点生气
正在乐呵呵的修理建筑中	正在乐呵呵的修理建筑中
刚完成修理建筑，准备洗洗手收工	刚完成修理建筑，准备洗洗手收工
正在准备工具，去执行修理建筑	正在准备工具，去执行修理建筑
娱乐	娱乐
正准备娱乐一下放松放松	正准备娱乐一下放松放松
正惬意的享受自己的娱乐时间	正惬意的享受自己的娱乐时间
刚刚玩了个痛快，正准备收收心	刚刚玩了个痛快，正准备收收心
正无所事事的消磨着时光	正无所事事的消磨着时光
走路	走路
正匆匆赶路	正匆匆赶路
正兴高采烈的赶路	正兴高采烈的赶路
正面无表情的赶路	正面无表情的赶路
正慢悠悠的走路	正慢悠悠的走路
赶路时略感疲惫，正准备歇一歇脚	赶路时略感疲惫，正准备歇一歇脚
搬运	搬运
在搬运之时，正感觉有点无聊	在搬运之时，正感觉有点无聊
在搬运间余，刚小憩片刻	在搬运间余，刚小憩片刻
在搬运之时，正在胡思乱想	在搬运之时，正在胡思乱想
在搬运时，正累的气喘吁吁	在搬运时，正累的气喘吁吁
正哼着小调搬运什么东西	正哼着小调搬运什么东西
正专心搬运	正专心搬运
无心搬运这些东西，正一脸不开心	无心搬运这些东西，正一脸不开心
搬运时连续手滑，差点弄伤自己，正感觉有点生气	搬运时连续手滑，差点弄伤自己，正感觉有点生气
刚搬完一堆货物，准备休息一下	刚搬完一堆货物，准备休息一下
刚完成搬运工作，准备洗洗手收工	刚完成搬运工作，准备洗洗手收工
收获	收获
在收获之时，正感觉有点无聊	在收获之时，正感觉有点无聊
在收获间余，刚小憩片刻	在收获间余，刚小憩片刻
在收获时，正累的气喘吁吁	在收获时，正累的气喘吁吁
在收获时，正忍不住神游天外	在收获时，正忍不住神游天外
在收获时，正快乐的哼着小调	在收获时，正快乐的哼着小调
正专心收获	正专心收获
收获时心不在焉，正想找个机会偷懒	收获时心不在焉，正想找个机会偷懒
正在乐呵呵的收获中	正在乐呵呵的收获中
刚完成收获，准备洗洗手收工	刚完成收获，准备洗洗手收工
正在准备工具，去收获作物	正在准备工具，去收获作物
发呆	发呆
正在发呆	正在发呆
不知道在想什么，一脸呆滞	不知道在想什么，一脸呆滞
正在发愁今天做什么东西吃	正在发愁今天做什么东西吃
正在享受烹饪的快乐	正在享受烹饪的快乐
正在一脸不情愿的做饭	正在一脸不情愿的做饭
刚做完饭，准备休息一下	刚做完饭，准备休息一下
正心无旁骛的做饭中	正心无旁骛的做饭中
锻造	锻造
在锻造之时，正感觉有点无聊	在锻造之时，正感觉有点无聊
在锻造间余，刚小憩片刻	在锻造间余，刚小憩片刻
在锻造之时，刚刚险些砸了自己的脚	在锻造之时，刚刚险些砸了自己的脚
在锻造时，正累的气喘吁吁	在锻造时，正累的气喘吁吁
在锻造时，正在走神	在锻造时，正在走神
在锻造时，正快乐的哼着小调	在锻造时，正快乐的哼着小调
锻造时，被叮叮当当的声音弄得有点烦	锻造时，被叮叮当当的声音弄得有点烦
正专心锻造	正专心锻造
无心锻造，正想找个机会划划水	无心锻造，正想找个机会划划水
刚完成一件锻造作品，准备休息一下	刚完成一件锻造作品，准备休息一下
刚完成锻造，准备熄灭炉火收工	刚完成锻造，准备熄灭炉火收工
正在准备工具，去执行锻造	正在准备工具，去执行锻造
制作	制作
在手工作业时，正感觉有点无聊	在手工作业时，正感觉有点无聊
在手工作业间余，正小憩片刻	在手工作业间余，正小憩片刻
正心不在焉的手工作业中	正心不在焉的手工作业中
在手工时，正快乐的哼着小调	在手工时，正快乐的哼着小调
正心无旁骛的手工作业中	正心无旁骛的手工作业中
正在乐呵呵的手工中	正在乐呵呵的手工中
刚完成手工作业，准备收拾手工桌	刚完成手工作业，准备收拾手工桌
正在准备工具，去执行手工作业	正在准备工具，去执行手工作业
缝制	缝制
在缝纫作业时，正感觉有点无聊	在缝纫作业时，正感觉有点无聊
在缝纫作业间余，正小憩片刻	在缝纫作业间余，正小憩片刻
正心不在焉的缝纫作业中	正心不在焉的缝纫作业中
在缝纫时，正快乐的哼着小调	在缝纫时，正快乐的哼着小调
正心无旁骛的缝纫作业中	正心无旁骛的缝纫作业中
正在乐呵呵的缝纫中	正在乐呵呵的缝纫中
刚完成缝纫作业，准备收拾缝纫桌	刚完成缝纫作业，准备收拾缝纫桌
正在准备工具，去执行缝纫作业	正在准备工具，去执行缝纫作业
在缝纫时，差点被扎伤自己，正一脸后怕	在缝纫时，差点被扎伤自己，正一脸后怕
打磨	打磨
在切石作业时，正感觉有点无聊	在切石作业时，正感觉有点无聊
在切石作业间余，正小憩片刻	在切石作业间余，正小憩片刻
正心不在焉的切石作业中	正心不在焉的切石作业中
在切石时，正快乐的哼着小调	在切石时，正快乐的哼着小调
正心无旁骛的切石作业中	正心无旁骛的切石作业中
正在乐呵呵的切石中	正在乐呵呵的切石中
刚完成切石作业，正拍落衣服上的石屑灰尘	刚完成切石作业，正拍落衣服上的石屑灰尘
正在准备工具，去执行切石作业	正在准备工具，去执行切石作业
制药	制药
在制药作业时，正感觉有点无聊	在制药作业时，正感觉有点无聊
在制药作业间余，正小憩片刻	在制药作业间余，正小憩片刻
正心不在焉的制药作业中	正心不在焉的制药作业中
在制药时，正快乐的哼着小调	在制药时，正快乐的哼着小调
正心无旁骛的制药作业中	正心无旁骛的制药作业中
正在乐呵呵的制药中	正在乐呵呵的制药中
刚完成制药作业，准备收拾制药桌	刚完成制药作业，准备收拾制药桌
配药时好像放错了一味药，正一脸思索	配药时好像放错了一味药，正一脸思索
砍柴	砍柴
在砍柴时，正感觉有点无聊	在砍柴时，正感觉有点无聊
在砍柴间余，正小憩片刻	在砍柴间余，正小憩片刻
正心不在焉的砍柴中	正心不在焉的砍柴中
在砍柴时，正快乐的哼着小调	在砍柴时，正快乐的哼着小调
正心无旁骛的砍柴中	正心无旁骛的砍柴中
正在乐呵呵的砍柴中	正在乐呵呵的砍柴中
刚砍完柴，正在擦汗	刚砍完柴，正在擦汗
焚香祈愿，准备开始炼制丹药	焚香祈愿，准备开始炼制丹药
庄重的开启丹炉，准备炼丹	庄重的开启丹炉，准备炼丹
炼丹结束，正面无表情的熄灭丹炉	炼丹结束，正面无表情的熄灭丹炉
开采	开采
在挖矿时，正感觉有点无聊	在挖矿时，正感觉有点无聊
正在一脸期待的挖矿中	正在一脸期待的挖矿中
在挖矿间余，正想小憩片刻	在挖矿间余，正想小憩片刻
正心不在焉的挖矿中	正心不在焉的挖矿中
在挖矿时，正快乐的哼着小调	在挖矿时，正快乐的哼着小调
正心无旁骛的挖矿中	正心无旁骛的挖矿中
正在乐呵呵的挖矿中	正在乐呵呵的挖矿中
刚从矿坑里出来，正在擦汗	刚从矿坑里出来，正在擦汗
种植	种植
在种植作物时，正感觉有点无聊	在种植作物时，正感觉有点无聊
正在一脸期待的种植作物中	正在一脸期待的种植作物中
在种植作物间余，小憩片刻	在种植作物间余，小憩片刻
正心不在焉的种植中	正心不在焉的种植中
在种植时，正快乐的哼着小调	在种植时，正快乐的哼着小调
正心无旁骛的种植中	正心无旁骛的种植中
正在乐呵呵的种植中	正在乐呵呵的种植中
擦了擦汗，正满意的看着刚种完的田地	擦了擦汗，正满意的看着刚种完的田地
移除地板	移除地板
在拆地板之时，正觉得很爽快	在拆地板之时，正觉得很爽快
在拆地板间余，刚小憩片刻	在拆地板间余，刚小憩片刻
在拆地板之时，正在胡思乱想	在拆地板之时，正在胡思乱想
在拆地板时，正累的气喘吁吁	在拆地板时，正累的气喘吁吁
在拆地板时，正忍不住神游天外	在拆地板时，正忍不住神游天外
在拆地板时，正快乐的哼着小调	在拆地板时，正快乐的哼着小调
正专心拆地板	正专心拆地板
正在乐呵呵的拆地板中	正在乐呵呵的拆地板中
调查	调查
正一脸好奇的查看什么东西	正一脸好奇的查看什么东西
安装建筑	安装建筑
正满意的看着自己刚刚安装的建筑	正满意的看着自己刚刚安装的建筑
正辛苦的安装建筑	正辛苦的安装建筑
屠宰	屠宰
正掩着口鼻屠宰牲畜	正掩着口鼻屠宰牲畜
正不情不愿的屠宰牲畜	正不情不愿的屠宰牲畜
睡觉	睡觉
治疗	治疗
正专心的给伤员治疗	正专心的给伤员治疗
正在一脸怜悯的给伤员治疗	正在一脸怜悯的给伤员治疗
正在一脸埋怨的给伤员治疗	正在一脸埋怨的给伤员治疗
刚刚完成一次治疗，松了松疲惫肩膀	刚刚完成一次治疗，松了松疲惫肩膀
兽圈	兽圈
药田	药田
灵植影响范围	灵植影响范围
区域数据	区域数据
农田	农田
房间	房间
分堂区域	分堂区域
重新激活	重新激活
拜祖师	拜祖师
开启阵法	开启阵法
关闭阵法	关闭阵法
命令与行为	命令与行为
[color=#bf642f]分堂掌管能力：{0}[/color]\n	[color=#bf642f]分堂掌管能力：{0}[/color]\n
{0}加成：{1}\n	{0}加成：{1}\n
境界加成：{0}\n	境界加成：{0}\n
道行加成：{0}\n	道行加成：{0}\n
功法加成：{0}\n	功法加成：{0}\n
交互	交互
与这个物体交互	与这个物体交互
拼装耗时 : 	拼装耗时 : 
自己	自己
默认目标	默认目标
手选单位	手选单位
手选目标点	手选目标点
手选目标范围	手选目标范围
所有可见目标	所有可见目标
灵气最低的目标	灵气最低的目标
距离最近的目标	距离最近的目标
随机目标	随机目标
法宝威力 : {0:N0}	法宝威力 : {0:N0}
灵气容量 : {0:N0}	灵气容量 : {0:N0}
回灵速度 : {0:N1}/秒	回灵速度 : {0:N1}/秒
飞行速度 : {0:N1}米/秒	飞行速度 : {0:N1}米/秒
转弯速度 : {0:N0}度/秒	转弯速度 : {0:N0}度/秒
攻击间隔 : {0:N1}秒	攻击间隔 : {0:N1}秒
击退抵抗 : {0:P0}	击退抵抗 : {0:P0}
击退强度 : {0:P0}	击退强度 : {0:P0}
体积 : {0:P0}	体积 : {0:P0}
拖尾长度 : {0:N1}米	拖尾长度 : {0:N1}米
飞行速度 : {0:P1}	飞行速度 : {0:P1}
{0}\n目标阵营：{4}\n目标类型：{3}\n消耗灵气：{1:N0}点\n施法间隔：{2:F1}秒\n	{0}\n目标阵营：{4}\n目标类型：{3}\n消耗灵气：{1:N0}点\n施法间隔：{2:F1}秒\n
友方	友方
敌方	敌方
作用半径：{0:F1}米\n	作用半径：{0:F1}米\n
持续时间：{0:F1}秒\n	持续时间：{0:F1}秒\n
对目标造成{0:F0}点灵气伤害	对目标造成{0:F0}点灵气伤害
增强法宝威力{0:P0}	增强法宝威力{0:P0}
回复目标{0:F0}点灵气	回复目标{0:F0}点灵气
提高护体金光强度{0:P0}	提高护体金光强度{0:P0}
强化术法伤害{0:P0}	强化术法伤害{0:P0}
术法与法宝	术法与法宝
的	的
{0}释放的{1}	{0}释放的{1}
神兽灵智	神兽灵智
工作与劳动	工作与劳动
不安	不安
埋葬	埋葬
{0}之墓	{0}之墓
{0}\n享年{1:N0}岁\n死因:{2}	{0}\n享年{1:N0}岁\n死因:{2}
未知	未知
祭拜	祭拜
打水	打水
扫地	扫地
{0} 享用:{1}	{0} 享用:{1}
规划行程	规划行程
休息	休息
规划路线	规划路线
探索	探索
面向	面向
挖土	挖土
喂食	喂食
喂水	喂水
喂{0}吃了东西	喂{0}吃了东西
喂{0}喝了水	喂{0}喝了水
待机	待机
游荡	游荡
嗷~	嗷~
放灯	放灯
被{0}屠宰	被{0}屠宰
前往	前往
击杀	击杀
被{0}击杀	被{0}击杀
驻扎	驻扎
历练中	历练中
放下收获	放下收获
犹豫不决	犹豫不决
挖地离开	挖地离开
看天花板	看天花板
晨观日出	晨观日出
暮观日落	暮观日落
赏月	赏月
凝神望天	凝神望天
夜观星象	夜观星象
观云卷云舒	观云卷云舒
听雨	听雨
赏雪	赏雪
随便看看	随便看看
读书品卷	读书品卷
翩然起舞	翩然起舞
熔炼中	熔炼中
打包建筑	打包建筑
打包	打包
灭火	灭火
灭火失败	灭火失败
搜索	搜索
神秘修行者	神秘修行者
交流	交流
打架	打架
接受治疗	接受治疗
等待收留	等待收留
等待帮助	等待帮助
观察	观察
收留	收留
提供帮助	提供帮助
驱逐	驱逐
劝说留下	劝说留下
孵蛋	孵蛋
生育	生育
魔(茫然)	魔(茫然)
茫然	茫然
魔(幽闭)	魔(幽闭)
幽闭	幽闭
封闭	封闭
魔(封闭)	魔(封闭)
魔(恸哭)	魔(恸哭)
恸哭	恸哭
被施法	被施法
被吸灵	被吸灵
感悟天地	感悟天地
飞升	飞升
观礼	观礼
接受铸体	接受铸体
铸体	铸体
参悟	参悟
准备讲道	准备讲道
讲道	讲道
听讲	听讲
护法	护法
绘制	绘制
拜师	拜师
收徒	收徒
被夺舍	被夺舍
夺舍	夺舍
接受传授	接受传授
传授	传授
跟随{0}	跟随{0}
沉睡	沉睡
建造:{0}	建造:{0}
伐木	伐木
移除:{0}	移除:{0}
拆除:{0}	拆除:{0}
老子好饿，只能吃土了！	老子好饿，只能吃土了！
享用:{0}	享用:{0}
喂给{0}{1}	喂给{0}{1}
东西	东西
战斗中	战斗中
维修:{0}	维修:{0}
娱乐:{0}	娱乐:{0}
摔倒	摔倒
前往:{0}	前往:{0}
前往:目标点	前往:目标点
收获:{0}	收获:{0}
倒地	倒地
进入建筑	进入建筑
手工制作	手工制作
切石	切石
裁缝	裁缝
做东西	做东西
采矿	采矿
开采:{0}	开采:{0}
拾取	拾取
放下:{0}	放下:{0}
抱起:{0}	抱起:{0}
种植:{0}	种植:{0}
放下	放下
调查:{0}	调查:{0}
安装建筑:{0}	安装建筑:{0}
凶宅	凶宅
{0}正在发挥药效	{0}正在发挥药效
治疗:{0}上的{1}	治疗:{0}上的{1}
孵化中	孵化中
施放	施放
聚气	聚气
\n来自：{0}	\n来自：{0}
{0}对其施展的{1}	{0}对其施展的{1}
似乎什么都不会发生	似乎什么都不会发生
{0}可能会出现 {1}	{0}可能会出现 {1}
似乎没有什么特殊的事情发生	似乎没有什么特殊的事情发生
门派近期派人前往{0}可能{1}	门派近期派人前往{0}可能{1}
某地	某地
被替换	被替换
激活中	激活中
遇到有缘人	遇到有缘人
有所奇遇	有所奇遇
与人发生争斗	与人发生争斗
与当地门派有所交流	与当地门派有所交流
有所收获	有所收获
大有收获	大有收获
探听到重要消息	探听到重要消息
小有收获	小有收获
施法	施法
吸灵	吸灵
结丹	结丹
突破瓶颈	突破瓶颈
御物	御物
炼器中	炼器中
不限制	不限制
男	男
女	女
人类	人类
出身	出身
历世	历世
特殊	特殊
插入角色名字	插入角色名字
插入第三人称代词（他/她）	插入第三人称代词（他/她）
插入语第三人称物主代词（他的/她的）	插入语第三人称物主代词（他的/她的）
未选择需要删除的内容	未选择需要删除的内容
删除成功	删除成功
新故事	新故事
输入数值	输入数值
添加特性	添加特性
请选择需要保存的内容	请选择需要保存的内容
有需要保存的内容还没有名字	有需要保存的内容还没有名字
需要保存的内容还没有名字	需要保存的内容还没有名字
保存成功	保存成功
背景故事 {0} 数据写入中...	背景故事 {0} 数据写入中...
正常	正常
白	白
黑	黑
灰	灰
壮	壮
胖	胖
花布	花布
靛蓝布	靛蓝布
紫布	紫布
黄布	黄布
蓝布	蓝布
红布	红布
白布	白布
黑布	黑布
现在退出未保存的数据将丢失	现在退出未保存的数据将丢失
未选择需要上传的内容	未选择需要上传的内容
单次上传的轮回者最多允许 20 个	单次上传的轮回者最多允许 20 个
轮回者 {0} 数据与已有的数据冲突，无法保存	轮回者 {0} 数据与已有的数据冲突，无法保存
轮回者 {0} 缺少描述，无法保存	轮回者 {0} 缺少描述，无法保存
等轮回者	等轮回者
[作者]\r\n    	[作者]\r\n    
[简介]\r\n	[简介]\r\n
[内容]\r\n	[内容]\r\n
本地轮回者	本地轮回者
文中含有敏感词汇，请斟酌后重书。	文中含有敏感词汇，请斟酌后重书。
是	是
年龄不足	年龄不足
{1}:{2:F2}\n(先天:{3:F2} 后天:{4:F2})\n{0}	{1}:{2:F2}\n(先天:{3:F2} 后天:{4:F2})\n{0}
总值	总值
\n\n[color=#9e6404]不能共存：[/color]	\n\n[color=#9e6404]不能共存：[/color]
[新手推荐]\n	[新手推荐]\n
未选择需要保存的内容	未选择需要保存的内容
轮回者 {0} 缺少描述	轮回者 {0} 缺少描述
自制轮回者	自制轮回者
轮回者 {0} 数据写入中...	轮回者 {0} 数据写入中...
添加新故事	添加新故事
键位的编码已被使用，请更换编码！	键位的编码已被使用，请更换编码！
类型或ID不能为空！	类型或ID不能为空！
 或 	 或 
天苍{0}年 {1} 第{2}日	天苍{0}年 {1} 第{2}日
加载自动过期信息有问题！报错：{0}	加载自动过期信息有问题！报错：{0}
加载条件过期信息有问题！报错：{0}	加载条件过期信息有问题！报错：{0}
加载查看移除信息有问题！报错：{0}	加载查看移除信息有问题！报错：{0}
加载历史消息	加载历史消息
消息属性{0}存在问题	消息属性{0}存在问题
[{0}前]	[{0}前]
开始载入补丁	开始载入补丁
加载{0}配置文件	加载{0}配置文件
修复程序加载失败，错误信息：{0}	修复程序加载失败，错误信息：{0}
请先接受 Steam 工作坊法律协议 : 	请先接受 Steam 工作坊法律协议 : 
建立物品的使用者目前已被社群封锁	建立物品的使用者目前已被社群封锁
长时间未响应，建议重新建立	长时间未响应，建议重新建立
使用者目前并未登入 Steam	使用者目前并未登入 Steam
请检查需要上传的文件是否已丢失或处于打开状态	请检查需要上传的文件是否已丢失或处于打开状态
预览图像需小于 1 MB，或云端空间不足。	预览图像需小于 1 MB，或云端空间不足。
未知错误_{0}	未知错误_{0}
数据拉取失败，请检查网络是否正常连接Steam	数据拉取失败，请检查网络是否正常连接Steam
请取消该MOD在WEGAME上的审核状态，审核中的MOD无法进行修改编辑	请取消该MOD在WEGAME上的审核状态，审核中的MOD无法进行修改编辑
上传错误，请重试！	上传错误，请重试！
还未设置该模组的预览图	还未设置该模组的预览图
还未设置该模组的名称	还未设置该模组的名称
确定更新模组内容吗？	确定更新模组内容吗？
分享	分享
\r\n[内容]	\r\n[内容]
上传	上传
更新	更新
图片(*.png;*.jpg)\0*.png;*.jpg	图片(*.png;*.jpg)\0*.png;*.jpg
选择预览图	选择预览图
请确认comdlg32.ocx是否丢失！_{0}	请确认comdlg32.ocx是否丢失！_{0}
最新上传	最新上传
订阅数最多	订阅数最多
评分最高	评分最高
投票失败！	投票失败！
类型:	类型:
订阅数:	订阅数:
作者:	作者:
读取中...	读取中...
评分:	评分:
\r\n[简介]	\r\n[简介]
[作者]\r\n	[作者]\r\n
[简介]	[简介]
未拉取到投票信息	未拉取到投票信息
全部	全部
模组商店只在WeGame和Steam平台提供。\n开发不易，请支持正版。感谢！	模组商店只在WeGame和Steam平台提供。\n开发不易，请支持正版。感谢！
模组可能处于审核状态或已下架，未能正常下载	模组可能处于审核状态或已下架，未能正常下载
{0} 下载失败，请检查网络连接是否稳定，同时移至Steam下载界面恢复下载	{0} 下载失败，请检查网络连接是否稳定，同时移至Steam下载界面恢复下载
正在下载 ：	正在下载 ：
{0} 下载超时，请检查网络连接，或移至Steam下载界面恢复下载	{0} 下载超时，请检查网络连接，或移至Steam下载界面恢复下载
{0} 下载超时，请检查网络连接，是否继续下载	{0} 下载超时，请检查网络连接，是否继续下载
有资源未下载完成，退出将被取消，确定要退出吗？	有资源未下载完成，退出将被取消，确定要退出吗？
添加新标签	添加新标签
设置的版本号未高于原版本号，请确认	设置的版本号未高于原版本号，请确认
设置的所需游戏版本比当前游戏版本更高，请确认	设置的所需游戏版本比当前游戏版本更高，请确认
不存在预览图！	不存在预览图！
请设定标签！	请设定标签！
万界天宫	万界天宫
外观美化	外观美化
功能增强	功能增强
易用性	易用性
大型综合	大型综合
轮回者	轮回者
丹药	丹药
物品	物品
装备	装备
建筑	建筑
检测服务器MOD...	检测服务器MOD...
更新MOD信息...	更新MOD信息...
上传中，请耐心等待...	上传中，请耐心等待...
上传成功！大约需要10分钟的时间才会在模组订阅面板中出现	上传成功！大约需要10分钟的时间才会在模组订阅面板中出现
上传失败!错误信息：{0}\n是否选择无预览图上传	上传失败!错误信息：{0}\n是否选择无预览图上传
上传失败!错误信息：{0}	上传失败!错误信息：{0}
上传成功！已提交审核请等待！	上传成功！已提交审核请等待！
围观	围观
慕名而来	慕名而来
劫掠而来	劫掠而来
雷击	雷击
混沌初开，乾坤始奠	混沌初开，乾坤始奠
生成云雾	生成云雾
生成山川	生成山川
生成河流	生成河流
整理山脉	整理山脉
埋下矿石	埋下矿石
生成星辰日月	生成星辰日月
生成大地土壤	生成大地土壤
埋下灵脉	埋下灵脉
喝杯水	喝杯水
偷埋宝藏	偷埋宝藏
推演灵气流动	推演灵气流动
推演星辰变化	推演星辰变化
可爱的动物	可爱的动物
放点	放点
播种	播种
成长	成长
推演万物生长	推演万物生长
上古时期叱咤风云的[{1}]·[{0}]出世了！	上古时期叱咤风云的[{1}]·[{0}]出世了！
发现新的地点：{0}	发现新的地点：{0}
但是这个地点你已经知道了	但是这个地点你已经知道了
自然与环境	自然与环境
一窝孕育中的	一窝孕育中的
难度管理器	难度管理器
少量的	少量的
较多的	较多的
大量的	大量的
巨量的	巨量的
{0}{1}经验	{0}{1}经验
获得配方：{0}	获得配方：{0}
习得符咒：{0}	习得符咒：{0}
{0:F1}点{1}	{0:F1}点{1}
(技能)	(技能)
{0}→[color=#009900]{1}(相生)[/color]	{0}→[color=#009900]{1}(相生)[/color]
{0}→[color=#990000]{1}(相克)[/color]	{0}→[color=#990000]{1}(相克)[/color]
{0}→[color=#999900]{1}(归元)[/color]	{0}→[color=#999900]{1}(归元)[/color]
功法秘籍	功法秘籍
的宝贝	的宝贝
{0}习得[{1}]\n[color=#D06508]{2}[/color]	{0}习得[{1}]\n[color=#D06508]{2}[/color]
[color=#880000](丢失)[/color]	[color=#880000](丢失)[/color]
[color=#880000](未激活)[/color]	[color=#880000](未激活)[/color]
[color=#880000](模组版本不符:v{0})[/color]	[color=#880000](模组版本不符:v{0})[/color]
[color=#880000](游戏版本过低:{0})[/color]	[color=#880000](游戏版本过低:{0})[/color]
[color=#880000](不再支持的MOD版本:{0})[/color]	[color=#880000](不再支持的MOD版本:{0})[/color]
[color=#008800](正常)[/color]	[color=#008800](正常)[/color]
\n使用模组:\n	\n使用模组:\n
加载资源	加载资源
大能出世	大能出世
大地与土壤	大地与土壤
生成世界	生成世界
开天辟地	开天辟地
{0}{1}  {2}等级\n	{0}{1}  {2}等级\n
{0}{1}  {2}经验\n	{0}{1}  {2}经验\n
{0}{1}  {2}等级(提高上限)\n	{0}{1}  {2}等级(提高上限)\n
天道影响	天道影响
{0}{1}  {2}等级	{0}{1}  {2}等级
{0}{1}  {2}经验	{0}{1}  {2}经验
{0}{1}  {2}等级(提高上限)	{0}{1}  {2}等级(提高上限)
一个Modifier	一个Modifier
成员	成员
堂主	堂主
被击	被击
{0}天 {1:D2}:{2:D2}	{0}天 {1:D2}:{2:D2}
丢失核心	丢失核心
食用了{0}	食用了{0}
内灵气	内灵气
傀·	傀·
尸·	尸·
失去控制	失去控制
怀孕中	怀孕中
额外掉落需要在精英怪上才能生效	额外掉落需要在精英怪上才能生效
[color=#306BC7]获得了新的修炼功法：{0}[/color]	[color=#306BC7]获得了新的修炼功法：{0}[/color]
{0}引荐了几个弟子	{0}引荐了几个弟子
获得秘籍：{0} X {1}	获得秘籍：{0} X {1}
获得秘籍：《{0}》 X {1}	获得秘籍：《{0}》 X {1}
获得符咒：{0} X {1}	获得符咒：{0} X {1}
历练	历练
{0}的{1}受伤了!	{0}的{1}受伤了!
{0}受伤了!	{0}受伤了!
{0}点 门派声望	{0}点 门派声望
{1}点 [{0}]好感度	{1}点 [{0}]好感度
{0}点 {1}	{0}点 {1}
{0}获得称号 [{1}]	{0}获得称号 [{1}]
{1}习得秘籍：《{0}》	{1}习得秘籍：《{0}》
{1}获得参悟经验：{0:F0}点	{1}获得参悟经验：{0:F0}点
[{0}]瓶颈已突破	[{0}]瓶颈已突破
活物组成	活物组成
重生	重生
[{0}]缺少人手\n	[{0}]缺少人手\n
一个特性	一个特性
{0}带来的{1}{2}	{0}带来的{1}{2}
{0}带来的{1}导致{2}被破坏	{0}带来的{1}导致{2}被破坏
{0}导致{1}被破坏	{0}导致{1}被破坏
失去{0}	失去{0}
轻身符	轻身符
怠工	怠工
阳寿已尽	阳寿已尽
同意	同意
拒绝	拒绝
已领悟\n	已领悟\n
秘籍异常\n	秘籍异常\n
自行领悟，不可传授。\n	自行领悟，不可传授。\n
参悟不足({0}/{1})\n	参悟不足({0}/{1})\n
境界不够({0}/{1})\n	境界不够({0}/{1})\n
不能共存：{0}\n	不能共存：{0}\n
前置条件：{0}\n	前置条件：{0}\n
角色已死亡	角色已死亡
\n不能共存：{0}	\n不能共存：{0}
\n金丹品级不够：{0}品	\n金丹品级不够：{0}品
\n灵气最大值不够：{0:F0}/{1:F0}	\n灵气最大值不够：{0:F0}/{1:F0}
\n天劫洗礼次数不够：{0:N0}/{1:N0}	\n天劫洗礼次数不够：{0:N0}/{1:N0}
\n参悟不足：{0:F0}/{1:F0}	\n参悟不足：{0:F0}/{1:F0}
\n道行不够：{0}	\n道行不够：{0}
\n已达到道行上限	\n已达到道行上限
\n前置条件：{0}	\n前置条件：{0}
\n境界不够：{0}	\n境界不够：{0}
\n{0}等级：{1}/{2}	\n{0}等级：{1}/{2}
{1}{0:F0} 精元\n	{1}{0:F0} 精元\n
{0}瓶颈突破成功	{0}瓶颈突破成功
仙人{0}经过无量劫难，度{1}重天劫，于天苍历{2}年{3}斩断尘缘，以{4}证得天仙之境。	仙人{0}经过无量劫难，度{1}重天劫，于天苍历{2}年{3}斩断尘缘，以{4}证得天仙之境。
瓶颈突破失败	瓶颈突破失败
天劫	天劫
遇到瓶颈	遇到瓶颈
修行运转之法	修行运转之法
伪造的	伪造的
\n但似乎是伪造的，效果大打折扣。	\n但似乎是伪造的，效果大打折扣。
一张随意为之但充满想象力的符咒，不知道会有什么神奇的效果。	一张随意为之但充满想象力的符咒，不知道会有什么神奇的效果。
角色属性数据	角色属性数据
\n[color=#9e6404]受以下状态影响:[/color]	\n[color=#9e6404]受以下状态影响:[/color]
\n情绪影响:\n {0:N0}%	\n情绪影响:\n {0:N0}%
\n境界影响:\n {0:N0}%	\n境界影响:\n {0:N0}%
非常抱歉！存档失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试再次存档或者读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:QA@GSQStudio.com。	非常抱歉！存档失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试再次存档或者读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:QA@GSQStudio.com。
天下门派	天下门派
由{0}建立的新兴修仙门派，势力强劲且还在成长。	由{0}建立的新兴修仙门派，势力强劲且还在成长。
天苍历{0}年，在修行界{1}的{2}覆灭。	天苍历{0}年，在修行界{1}的{2}覆灭。
获得了新的修炼功法：\n[align=center][color=#306BC7]{0}[/color][/align]	获得了新的修炼功法：\n[align=center][color=#306BC7]{0}[/color][/align]
内门弟子数量达到上限:{0}。\n内门弟子数量受门派规模影响。\n你可以扩大门派规模或者将其他弟子踢出门派。	内门弟子数量达到上限:{0}。\n内门弟子数量受门派规模影响。\n你可以扩大门派规模或者将其他弟子踢出门派。
祝贺	祝贺
 再见,{0}!\n	 再见,{0}!\n
掌门	掌门
请选择门派后缀	请选择门派后缀
无名	无名
可以建立门派了	可以建立门派了
派	派
洞	洞
窟	窟
楼	楼
居	居
府	府
坊	坊
谷	谷
园	园
苑	苑
门	门
阁	阁
轩	轩
帮	帮
坞	坞
寨	寨
宫	宫
宗	宗
道	道
圣地	圣地
仙境	仙境
魔教	魔教
狱	狱
陵	陵
教	教
魔宫	魔宫
魔殿	魔殿
妖窟	妖窟
